TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.example.LinkedList,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9838383838383838,161,159
org.example.LinkedList,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9838383838383838,161,159
